0 0.0180529 0
0.00789345 0.0188354 0.00789337
0.0157869 0.0196016 0.0157862
0.0236803 0.020351 0.0236781
0.0315738 0.0210829 0.0315685
0.0394672 0.0217969 0.039457
0.0473607 0.0224923 0.047343
0.0552541 0.0231687 0.055226
0.0631476 0.0238255 0.0631056
0.071041 0.0244623 0.0709813
0.0789345 0.0250787 0.0788525
0.0868279 0.0256742 0.0867189
0.0947214 0.0262485 0.0945798
0.102615 0.0268013 0.102435
0.110508 0.0273321 0.110283
0.118402 0.0278409 0.118125
0.126295 0.0283272 0.12596
0.134189 0.0287909 0.133786
0.142082 0.0292317 0.141605
0.149976 0.0296496 0.149414
0.157869 0.0300443 0.157214
0.165762 0.0304159 0.165004
0.173656 0.0307641 0.172784
0.181549 0.031089 0.180554
0.189443 0.0313905 0.188312
0.197336 0.0316687 0.196058
0.20523 0.0319236 0.203792
0.213123 0.0321552 0.211513
0.221017 0.0323637 0.219222
0.22891 0.0325491 0.226916
0.236803 0.0327116 0.234597
0.244697 0.0328515 0.242262
0.25259 0.0329688 0.249913
0.260484 0.0330638 0.257548
0.268377 0.0331367 0.265167
0.276271 0.0331878 0.27277
0.284164 0.0332173 0.280355
0.292058 0.0332256 0.287923
0.299951 0.033213 0.295473
0.307845 0.0331798 0.303005
0.315738 0.0331263 0.310518
0.323631 0.033053 0.318012
0.331525 0.0329602 0.325485
0.339418 0.0328482 0.332939
0.347312 0.0327176 0.340371
0.355205 0.0325687 0.347783
0.363099 0.032402 0.355173
0.370992 0.0322178 0.36254
0.378886 0.0320167 0.369885
0.386779 0.0317991 0.377207
0.394672 0.0315655 0.384506
0.402566 0.0313163 0.39178
0.410459 0.0310521 0.399031
0.418353 0.0307732 0.406256
0.426246 0.0304802 0.413456
0.43414 0.0301736 0.42063
0.442033 0.0298539 0.427778
0.449927 0.0295215 0.434899
0.45782 0.0291769 0.441994
0.465713 0.0288207 0.44906
0.473607 0.0284533 0.456099
0.4815 0.0280752 0.463109
0.489394 0.0276869 0.470091
0.497287 0.0272889 0.477043
0.505181 0.0268816 0.483966
0.513074 0.0264656 0.490858
0.520968 0.0260413 0.49772
0.528861 0.0256092 0.50455
0.536755 0.0251697 0.51135
0.544648 0.0247233 0.518117
0.552541 0.0242704 0.524852
0.560435 0.0238115 0.531555
0.568328 0.0233471 0.538224
0.576222 0.0228775 0.54486
0.584115 0.0224032 0.551462
0.592009 0.0219246 0.558029
0.599902 0.0214421 0.564562
0.607796 0.0209561 0.571059
0.615689 0.020467 0.577521
0.623582 0.0199752 0.583947
0.631476 0.0194811 0.590337
0.639369 0.018985 0.596689
0.647263 0.0184873 0.603005
0.655156 0.0179884 0.609283
0.66305 0.0174886 0.615523
0.670943 0.0169883 0.621725
0.678837 0.0164878 0.627888
0.68673 0.0159874 0.634012
0.694624 0.0154874 0.640096
0.702517 0.0149883 0.646141
0.71041 0.0144902 0.652145
0.718304 0.0139935 0.658109
0.726197 0.0134985 0.664031
0.734091 0.0130055 0.669912
0.741984 0.0125148 0.675752
0.749878 0.0120266 0.681549
0.757771 0.0115413 0.687304
0.765665 0.011059 0.693016
0.773558 0.0105802 0.698685
0.781451 0.010105 0.704311
0.789345 0.0096338 0.709892
0.797238 0.00916674 0.715429
