1.47 0.100626 0.0989111 0.974082
1.48 0.0906716 0.0895198 0.975024
1.49 0.0807084 0.0801285 0.975872
1.5 0.0707372 0.0707372 0.976627
1.51 0.0607589 0.0609995 0.977285
1.52 0.0507745 0.0512618 0.977847
1.53 0.040785 0.0415242 0.978311
1.54 0.0307915 0.0317865 0.978677
1.55 0.0207948 0.0220488 0.978946
1.56 0.0107961 0.0123111 0.979118
1.57 0.000796327 0.00257344 0.979193
1.58 -0.00920354 -0.00716424 0.97917
1.59 -0.0192025 -0.0169019 0.979049
1.6 -0.0291995 -0.0266396 0.978832
1.61 -0.0391936 -0.0363773 0.978517
1.62 -0.0491838 -0.046115 0.978104
1.63 -0.0591691 -0.0558526 0.977594
1.64 -0.0691484 -0.0655903 0.976987
1.65 -0.0791209 -0.075328 0.976282
1.66 -0.0890854 -0.0850657 0.97548
1.67 -0.099041 -0.0948034 0.974581
1.68 -0.108987 -0.104541 0.973584
1.69 -0.118922 -0.114279 0.97249
1.7 -0.128844 -0.124016 0.971299
1.71 -0.138755 -0.133754 0.97001
1.72 -0.148651 -0.143492 0.968624
1.73 -0.158532 -0.153229 0.96714
1.74 -0.168397 -0.162967 0.965559
1.75 -0.178246 -0.172705 0.963881
1.76 -0.188077 -0.182442 0.962105
1.77 -0.197889 -0.19218 0.960232
1.78 -0.207681 -0.201918 0.958261
1.79 -0.217452 -0.211656 0.956194
1.8 -0.227202 -0.221393 0.954028
1.81 -0.236929 -0.231131 0.951766
1.82 -0.246632 -0.240869 0.949406
1.83 -0.256311 -0.250606 0.946948
1.84 -0.265964 -0.260344 0.944394
1.85 -0.27559 -0.270082 0.941741
1.86 -0.285189 -0.279819 0.938992
1.87 -0.294759 -0.289557 0.936145
1.88 -0.3043 -0.299295 0.933201
1.89 -0.313811 -0.309032 0.930159
1.9 -0.32329 -0.31877 0.92702
1.91 -0.332736 -0.328508 0.923784
1.92 -0.34215 -0.338245 0.92045
1.93 -0.351529 -0.347983 0.917019
1.94 -0.360873 -0.357721 0.91349
1.95 -0.370181 -0.367458 0.909864
1.96 -0.379452 -0.377196 0.906141
1.97 -0.388685 -0.386934 0.902321
1.98 -0.397879 -0.396671 0.898403
1.99 -0.407033 -0.406409 0.894387
2 -0.416147 -0.416147 0.890274
2.01 -0.425219 -0.423847 0.886074
2.02 -0.434248 -0.431547 0.881797
2.03 -0.443234 -0.439247 0.877443
2.04 -0.452176 -0.446947 0.873012
2.05 -0.461073 -0.454647 0.868504
2.06 -0.469923 -0.462346 0.86392
2.07 -0.478727 -0.470046 0.859258
2.08 -0.487482 -0.477746 0.854519
2.09 -0.496189 -0.485446 0.849703
2.1 -0.504846 -0.493146 0.84481
2.11 -0.513453 -0.500846 0.83984
2.12 -0.522008 -0.508546 0.834793
2.13 -0.530511 -0.516246 0.829669
2.14 -0.538961 -0.523946 0.824468
2.15 -0.547358 -0.531646 0.81919
2.16 -0.555699 -0.539346 0.813835
2.17 -0.563985 -0.547046 0.808403
