1.12 0.435682 0.434871 -0.903587 0.897114
1.13 0.42666 0.425816 -0.907404 0.901418
1.14 0.417595 0.416723 -0.911144 0.90563
1.15 0.408487 0.407593 -0.914807 0.909752
1.16 0.39934 0.398427 -0.918392 0.913782
1.17 0.390152 0.389226 -0.9219 0.91772
1.18 0.380925 0.379989 -0.925331 0.921566
1.19 0.37166 0.370719 -0.928684 0.92532
1.2 0.362358 0.361416 -0.93196 0.928981
1.21 0.353019 0.35208 -0.935159 0.932548
1.22 0.343646 0.342713 -0.938281 0.936022
1.23 0.334238 0.333315 -0.941325 0.939402
1.24 0.324796 0.323887 -0.944292 0.942688
1.25 0.315322 0.314429 -0.947182 0.94588
1.26 0.305817 0.304943 -0.949994 0.948977
1.27 0.296281 0.29543 -0.952729 0.951979
1.28 0.286715 0.285889 -0.955387 0.954885
1.29 0.277121 0.276322 -0.957968 0.957696
1.3 0.267499 0.26673 -0.960471 0.960412
1.31 0.25785 0.257113 -0.962897 0.963031
1.32 0.248175 0.247472 -0.965245 0.965554
1.33 0.238476 0.237808 -0.967517 0.96798
1.34 0.228753 0.228122 -0.969711 0.97031
1.35 0.219007 0.218414 -0.971828 0.972543
1.36 0.209239 0.208686 -0.973867 0.974678
1.37 0.19945 0.198937 -0.975829 0.976716
1.38 0.189641 0.18917 -0.977714 0.978657
1.39 0.179813 0.179383 -0.979522 0.9805
1.4 0.169967 0.169579 -0.981252 0.982244
1.41 0.160104 0.159759 -0.982905 0.983891
1.42 0.150225 0.149922 -0.98448 0.98544
1.43 0.140332 0.140069 -0.985979 0.98689
1.44 0.130424 0.130202 -0.9874 0.988241
1.45 0.120503 0.120321 -0.988744 0.989494
1.46 0.11057 0.110428 -0.99001 0.990647
1.47 0.100626 0.100521 -0.991199 0.991702
1.48 0.0906716 0.0906039 -0.992311 0.992658
1.49 0.0807084 0.0806755 -0.993346 0.993514
1.5 0.0707372 0.0707372 -0.994303 0.994271
1.51 0.0607589 0.0607898 -0.99517 0.994929
1.52 0.0507745 0.0508342 -0.995932 0.995487
1.53 0.040785 0.0408715 -0.996589 0.995945
1.54 0.0307915 0.0309027 -0.997142 0.996304
1.55 0.0207948 0.020929 -0.997591 0.996564
1.56 0.0107961 0.0109512 -0.997936 0.996723
1.57 0.000796327 0.000970599 -0.998176 0.996783
1.58 -0.00920354 -0.00901192 -0.998311 0.996742
1.59 -0.0192025 -0.0189953 -0.998343 0.996602
1.6 -0.0291995 -0.0289784 -0.998269 0.996362
1.61 -0.0391936 -0.0389603 -0.998092 0.996023
1.62 -0.0491838 -0.0489399 -0.99781 0.995583
1.63 -0.0591691 -0.0589162 -0.997423 0.995044
1.64 -0.0691484 -0.068888 -0.996933 0.994405
1.65 -0.0791209 -0.0788545 -0.996337 0.993666
1.66 -0.0890854 -0.0888144 -0.995638 0.992828
1.67 -0.099041 -0.0987669 -0.994834 0.99189
1.68 -0.108987 -0.108711 -0.993925 0.990853
1.69 -0.118922 -0.118645 -0.992913 0.989716
1.7 -0.128844 -0.128569 -0.991795 0.98848
